Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Predicted Performance Index
7,99,Yes,9,1,91.85
8,51,Yes,7,2,45.07
8,91,No,4,5,84.33
5,79,No,7,8,65.58
2,72,No,4,3,47.43
2,54,Yes,4,9,30.88
1,99,Yes,4,3,72.64
1,85,No,5,6,58.88
3,61,No,6,3,40.06
9,84,Yes,6,6,81.83
5,90,Yes,4,3,74.93
3,61,Yes,7,3,41.14
7,44,Yes,9,1,35.86
2,55,Yes,4,1,30.32
2,63,Yes,6,0,39.24
4,73,Yes,7,0,55.63
8,61,No,7,2,54.66
2,89,Yes,6,1,65.91
6,81,No,9,9,71.65
6,62,Yes,9,0,51.13
2,54,Yes,9,5,32.52
8,48,No,6,0,40.54
9,97,Yes,8,5,95.84
1,87,Yes,8,8,63.36
7,61,Yes,4,7,51.92
8,62,Yes,4,2,54.81
8,68,No,7,3,61.98
3,54,Yes,5,0,32.45
3,69,No,4,7,48.02
7,80,No,8,3,71.82
9,99,No,4,1,94.54
8,61,Yes,6,9,56.14
3,48,No,7,5,27.71
8,64,No,5,1,56.54
7,53,No,5,9,44.06
7,89,No,8,1,80.59
5,40,No,4,9,24.62
7,68,No,4,8,58.64
3,67,No,9,8,48.62
4,56,No,4,7,37.65
7,91,Yes,6,3,82.64
9,89,Yes,5,3,85.84
4,54,No,7,5,36.68
7,96,No,5,3,86.65
8,96,No,8,9,92.15
6,59,Yes,4,9,47.41
8,48,No,5,4,40.84
1,72,No,7,0,45.43
4,77,Yes,8,6,61.37
2,53,Yes,8,9,31.81
3,56,No,5,7,35.27
1,96,No,8,6,71.53
1,72,Yes,5,7,46.43
8,40,Yes,7,7,34.86
2,45,Yes,4,3,20.54
5,72,Yes,8,1,58.16
1,69,Yes,9,8,45.52
5,49,No,6,5,33.96
7,58,Yes,6,2,48.85
8,62,No,6,8,56.37
1,43,No,6,4,16.21
8,58,No,5,1,50.43
4,66,No,4,5,47.43
6,73,No,8,7,62.62
1,95,No,8,6,70.52
9,77,Yes,9,1,75.18
6,46,Yes,9,7,36.22
3,65,No,4,4,43.36
4,48,No,5,1,28.81
2,55,Yes,6,7,32.48
8,93,No,7,2,87.23
7,49,Yes,7,3,40.37
4,47,Yes,5,1,28.39
5,87,No,5,3,71.76
8,65,No,6,5,58.83
3,54,Yes,6,3,33.53
6,77,No,6,8,65.92
3,62,Yes,9,0,42.54
4,62,Yes,4,6,44.15
4,78,No,8,3,61.2
5,92,No,7,2,77.63
7,52,No,6,5,42.74
6,83,Yes,4,7,71.45
3,48,No,5,1,25.95
2,66,Yes,6,3,42.89
5,68,No,4,8,52.92
1,76,No,8,5,50.98
3,90,Yes,7,7,71.45
3,46,Yes,4,2,24.22
9,72,No,7,1,68.52
5,77,No,7,4,62.76
4,89,Yes,7,8,73.49
8,44,No,6,5,37.45
2,99,Yes,9,5,78.33
1,99,Yes,4,6,73.24
9,93,No,7,5,90.68
8,91,No,5,8,85.4
9,96,Yes,4,3,92.48
1,61,No,8,3,35.31
3,73,Yes,5,0,51.79
2,45,Yes,4,5,20.93
4,41,Yes,8,2,23.93
5,44,No,6,0,27.89
7,84,No,6,9,76.1
4,89,Yes,7,1,72.11
7,51,Yes,6,7,42.71
1,40,Yes,8,9,15.71
5,83,No,5,0,67.1
1,83,No,8,0,57.12
1,86,Yes,5,9,61.08
2,41,No,8,8,18.8
8,88,No,5,8,82.35
6,77,No,6,4,65.13
5,87,Yes,9,2,74.11
9,65,Yes,4,8,61.91
1,94,Yes,9,3,69.99
5,56,Yes,5,2,40.61
1,99,Yes,4,6,73.24
5,62,Yes,7,2,47.69
7,85,No,9,8,78.38
3,82,No,6,2,61.24
5,89,No,7,4,74.97
1,44,Yes,7,3,18.12
3,89,No,8,7,70.33
3,63,Yes,6,8,43.68
1,77,Yes,4,1,49.86
1,42,Yes,8,4,16.76
3,80,No,7,3,59.89
8,88,No,9,2,83.11
2,81,No,6,1,57.17
9,50,Yes,9,9,49.27
5,81,No,6,5,66.54
9,86,Yes,6,9,84.45
9,88,Yes,5,4,85.02
3,76,Yes,5,9,56.62
7,79,Yes,9,4,72.08
1,99,No,7,5,73.9
9,98,No,6,7,95.68
4,40,Yes,6,5,22.53
3,75,Yes,5,8,55.41
9,44,No,5,1,39.04
5,59,No,5,1,42.87
3,76,Yes,5,6,56.03
4,87,Yes,5,1,69.1
5,40,Yes,7,8,26.47
5,70,No,7,4,55.63
9,90,No,5,8,87.25
2,44,Yes,6,4,20.69
6,40,Yes,4,0,26.3
3,64,Yes,9,1,44.78
1,43,Yes,7,4,17.3
4,91,No,9,5,75.32
4,45,No,6,8,27.62
6,95,No,8,7,85.02
7,85,Yes,9,4,78.19
3,72,Yes,8,3,52.83
8,54,No,6,6,47.83
7,75,No,8,6,67.32
1,53,Yes,8,5,28.16
3,95,Yes,4,2,74.1
1,53,Yes,6,2,26.59
9,42,Yes,8,0,38.86
5,89,Yes,6,7,75.67
5,61,No,8,1,46.36
5,74,No,5,3,58.53
4,80,No,5,5,62.17
2,52,Yes,7,8,30.11
9,74,Yes,8,6,72.62
1,90,Yes,5,5,64.36
1,71,No,7,9,46.19
9,58,No,6,4,54.37
8,93,Yes,6,2,87.34
9,52,No,4,5,47.49
9,64,No,6,1,59.89
2,42,No,8,9,20.02
6,59,Yes,4,1,45.84
1,71,Yes,9,6,47.17
5,87,No,9,7,74.5
7,89,No,9,4,81.67
6,52,Yes,6,6,40.67
3,67,Yes,8,6,48.33
5,60,No,9,0,45.63
5,99,No,7,5,85.35
3,66,No,9,7,47.4
1,99,Yes,9,8,76.06
1,99,Yes,9,3,75.08
2,68,No,7,1,44.42
1,59,No,4,8,32.32
5,91,Yes,4,8,76.93
7,54,Yes,4,5,44.4
2,95,No,9,7,74.06
3,56,Yes,7,6,36.65
4,50,Yes,6,7,33.11
6,44,Yes,7,3,32.42
1,65,No,8,2,39.19
5,47,No,4,9,31.74
5,95,No,9,1,81.46
2,80,Yes,5,0,56.06
3,95,Yes,5,1,74.39
7,75,No,8,1,66.34
8,55,Yes,5,9,49.55
3,75,Yes,5,7,55.21
5,53,No,8,8,39.6
5,95,Yes,8,1,81.57
9,84,Yes,8,8,83.19
9,72,No,7,6,69.5
6,55,Yes,6,6,43.72
8,45,No,4,8,38.09
3,42,No,9,3,22.18
8,51,Yes,6,8,45.77
2,72,No,9,1,49.46
8,70,No,8,3,64.5
7,66,Yes,8,7,58.95
9,41,Yes,8,5,38.83
7,51,Yes,8,5,43.29
5,61,No,7,0,45.68
6,76,No,8,2,64.69
1,71,Yes,6,5,45.51
2,63,Yes,9,4,41.49
4,92,No,8,2,75.26
6,82,No,4,6,69.64
6,57,No,9,2,45.84
4,66,No,8,6,49.58
8,55,No,5,1,47.38
9,57,Yes,4,8,53.76
1,42,Yes,8,1,16.17
6,93,No,5,5,81.13
6,55,Yes,9,1,44.2
6,45,Yes,5,3,32.47
7,90,No,8,2,81.8
8,89,Yes,5,8,83.96
7,53,No,9,1,44.43
8,86,Yes,5,9,81.11
5,87,Yes,6,7,73.63
6,44,No,9,8,33.78
1,71,Yes,6,6,45.71
6,92,Yes,9,4,82.45
3,45,Yes,7,4,25.05
3,64,Yes,4,7,43.53
4,48,No,9,4,31.35
6,82,No,6,7,70.81
4,75,No,6,5,57.57
2,92,No,9,0,69.63
9,92,No,5,2,88.1
2,47,No,8,6,24.51
8,88,Yes,5,2,81.76
2,66,No,8,6,43.86
3,58,Yes,6,1,37.21
1,64,No,6,9,38.58
6,60,No,5,2,46.94
8,63,Yes,9,5,58.85
9,63,No,9,3,60.72
3,99,No,9,0,79.61
5,58,Yes,4,5,42.75
8,67,No,6,3,60.47
3,79,Yes,9,5,60.83
6,81,No,9,5,70.86
1,86,No,7,4,60.47
1,52,Yes,9,7,28.02
8,85,Yes,6,3,79.39
6,88,No,6,5,76.52
3,90,Yes,5,6,70.28
4,78,No,7,7,61.5
1,47,No,9,0,20.96
4,49,No,8,5,32.07
2,46,No,5,0,20.85
1,92,Yes,6,8,67.48
6,76,Yes,6,4,64.71
4,66,No,4,0,46.45
4,96,Yes,7,7,80.42
2,66,Yes,5,0,41.81
6,81,Yes,8,5,70.97
8,66,No,6,8,60.44
7,42,No,5,7,32.47
8,67,Yes,5,3,60.58
4,69,No,5,7,51.37
8,93,No,9,0,87.81
7,68,No,9,6,60.68
9,52,No,5,9,48.76
1,42,Yes,6,3,15.59
6,41,No,9,8,30.73
8,77,Yes,5,2,70.56
9,71,No,5,7,67.71
4,52,No,9,5,35.62
2,98,No,8,0,75.25
1,67,Yes,8,0,41.43
6,99,No,6,4,87.52
1,96,No,7,1,70.06
1,96,Yes,5,6,70.67
1,87,No,6,6,61.4
1,59,Yes,7,9,34.57
8,52,No,7,1,45.3
3,86,No,4,8,65.52
2,83,Yes,4,5,59.61
1,53,Yes,7,5,27.67
2,91,Yes,7,7,69.61
7,49,No,9,1,40.36
7,64,Yes,6,7,55.94
3,89,Yes,9,2,70.42
8,81,No,5,2,74.04
7,65,No,5,9,56.27
6,75,No,7,7,64.17
5,55,Yes,6,8,41.26
7,87,No,8,6,79.54
5,99,No,6,3,84.47
1,46,No,6,6,19.66
5,90,No,8,2,76.08
4,40,Yes,8,4,23.31
4,74,No,7,3,56.64
8,62,No,9,9,58.03
1,46,Yes,6,4,19.86
2,91,Yes,8,0,68.72
8,75,Yes,7,4,69.9
2,59,No,5,6,35.27
9,63,Yes,8,1,60.44
5,88,No,7,3,73.76
6,78,Yes,5,1,65.66
2,77,No,7,9,55.16
5,76,Yes,6,5,62.04
5,51,Yes,7,1,36.29
9,56,No,4,4,51.36
5,46,No,4,6,30.13
2,77,Yes,6,9,55.27
6,42,No,6,8,30.29
5,70,Yes,9,0,56.41
4,82,Yes,7,4,65.58
6,68,No,6,3,55.77
6,93,No,6,2,81.02
5,81,Yes,4,0,65.17
4,78,No,9,6,62.28
3,93,No,8,4,73.81
4,92,No,4,5,73.9
8,76,Yes,5,4,69.94
7,91,No,9,9,84.69
2,74,No,5,2,49.75
5,48,No,5,5,32.46
3,58,No,7,0,36.9
8,75,No,9,8,71.06
1,46,No,9,8,21.52
8,99,Yes,8,9,95.8
7,51,Yes,4,8,41.93
6,58,Yes,4,2,45.02
7,41,Yes,6,6,32.33
7,69,Yes,6,9,61.43
1,81,No,4,6,54.32
8,44,No,8,0,37.44
2,60,No,8,9,38.34
8,59,Yes,7,9,54.59
7,47,No,5,5,37.16
8,51,No,8,4,45.36
1,60,Yes,4,3,32.94
4,69,Yes,7,6,52.74
6,66,Yes,8,8,56.29
2,65,Yes,9,1,42.93
7,65,Yes,9,6,58.22
3,75,Yes,9,3,56.37
2,79,No,6,3,55.52
2,98,Yes,6,3,75.46
7,89,No,5,1,79.13
1,50,Yes,7,6,24.82
9,41,Yes,8,1,38.04
8,40,Yes,6,7,34.37
9,83,No,9,7,81.87
4,93,Yes,4,0,74.53
2,69,No,8,0,45.73
2,74,No,5,1,49.55
5,97,Yes,7,3,83.51
5,45,No,5,6,29.6
9,82,No,7,3,79.09
9,43,Yes,8,8,41.46
8,84,No,5,8,78.28
4,49,Yes,7,0,31.2
3,84,Yes,4,6,63.69
6,85,No,4,3,72.1
6,60,Yes,6,8,49.21
7,49,No,6,6,39.88
1,95,Yes,8,1,70.13
2,78,Yes,8,4,56.27
1,93,No,6,2,66.72
3,80,No,7,7,60.68
9,43,Yes,9,8,41.94
4,90,No,8,0,72.83
5,91,Yes,7,7,78.19
9,78,Yes,8,3,76.1
3,47,Yes,4,7,26.22
9,67,No,4,4,62.56
8,94,Yes,5,7,88.86
8,73,No,4,9,66.79
2,65,Yes,7,4,42.55
8,76,No,9,3,71.1
8,53,Yes,6,3,46.82
9,56,No,4,3,51.16
7,79,No,9,0,70.7
5,58,No,6,3,42.73
9,76,Yes,8,1,73.67
5,41,No,7,2,25.71
2,49,No,6,3,24.99
6,74,No,8,9,64.03
7,63,No,6,1,53.15
9,56,Yes,5,4,52.44
2,79,No,8,5,56.89
6,41,Yes,4,7,28.69
4,45,No,5,4,26.35
4,60,Yes,8,2,43.28
1,94,Yes,4,7,68.34
1,68,No,6,8,42.45
6,46,No,6,2,33.18
3,72,Yes,9,2,53.12
6,87,No,7,1,75.2
2,92,Yes,5,9,70.05
2,63,Yes,6,7,40.62
4,65,No,4,4,46.22
1,86,No,5,4,59.5
7,99,Yes,8,8,92.74
4,41,No,7,4,23.25
3,60,Yes,8,1,40.22
3,53,No,6,5,32.31
1,81,Yes,6,7,56.08
2,83,Yes,9,1,61.26
8,58,No,6,6,51.9
5,84,Yes,6,8,70.78
2,52,Yes,8,9,30.79
3,61,No,6,6,40.65
3,95,No,6,1,74.28
7,83,Yes,5,6,74.6
1,99,No,9,7,75.27
9,74,Yes,7,9,72.72
1,53,Yes,9,5,28.65
6,52,Yes,7,5,40.96
6,86,No,7,2,74.38
1,53,No,5,0,25.12
2,90,No,8,1,67.3
9,75,Yes,6,7,72.86
6,40,Yes,4,9,28.07
2,92,Yes,7,4,70.04
8,50,Yes,4,5,43.18
3,66,No,8,8,47.11
9,61,Yes,9,9,60.46
9,85,Yes,7,6,83.33
9,88,Yes,8,5,86.67
2,85,Yes,9,1,63.29
8,49,No,5,6,42.26
8,63,Yes,5,0,55.92
4,48,Yes,9,6,32.34
4,56,Yes,5,1,37.55
6,77,No,6,4,65.13
6,79,No,8,3,67.94
6,76,Yes,5,7,64.81
7,45,No,8,4,36.39
9,60,Yes,9,7,59.05
3,75,No,8,1,54.89
4,75,No,9,9,59.82
8,64,No,5,7,57.72
7,50,No,7,7,41.58
3,84,No,6,6,64.07
3,87,Yes,8,5,68.49
1,96,No,7,5,70.85
4,75,Yes,9,7,60.02
4,42,Yes,7,0,24.07
2,48,No,7,1,24.06
4,47,No,6,0,28.08
6,77,Yes,8,9,67.68
7,43,Yes,9,2,35.04
5,81,Yes,5,3,66.25
5,43,No,7,9,29.13
8,83,No,9,5,78.62
9,43,No,4,4,38.13
8,48,Yes,4,0,40.16
4,51,Yes,9,0,34.21
7,94,No,9,1,86.16
4,47,Yes,8,9,31.42
4,59,Yes,8,2,42.26
9,78,Yes,6,7,75.92
5,74,Yes,6,5,60.01
1,88,Yes,4,5,61.84
8,96,Yes,5,9,91.29
4,98,Yes,9,6,83.23
2,95,No,4,2,70.64
9,46,Yes,4,2,41.38
5,70,No,4,4,54.17
4,57,Yes,9,4,41.1
7,53,No,6,8,44.35
3,78,Yes,6,9,59.14
5,98,Yes,8,7,85.81
3,76,Yes,9,8,58.37
5,48,No,9,3,34.01
8,59,No,4,9,52.54
9,96,No,6,8,93.84
2,67,Yes,7,2,44.19
7,92,No,9,1,84.13
6,66,Yes,6,3,54.33
4,47,No,8,6,30.24
7,96,Yes,7,2,88.02
8,71,No,9,6,66.6
5,48,Yes,7,7,34.42
6,69,No,9,7,59.04
7,40,Yes,4,8,30.73
1,44,No,8,6,18.6
8,74,Yes,5,6,68.3
8,53,No,7,5,47.1
4,69,No,4,0,49.5
1,43,No,9,0,16.89
1,46,Yes,5,5,19.57
9,52,Yes,7,6,49.74
9,43,Yes,6,8,40.48
9,82,No,6,5,79.0
2,75,No,6,0,50.86
3,47,No,9,2,27.07
6,71,No,7,9,60.49
2,81,No,7,2,57.85
7,65,No,8,0,55.96
5,81,Yes,5,1,65.86
3,86,Yes,6,9,67.29
9,57,Yes,8,7,55.51
3,97,No,7,9,78.38
5,83,Yes,7,0,68.67
8,96,No,9,5,91.85
6,40,Yes,6,2,27.67
5,87,Yes,9,5,74.7
4,67,No,7,3,49.52
6,44,Yes,5,6,32.04
4,40,Yes,6,6,22.73
4,97,Yes,8,0,80.55
2,92,No,4,1,67.39
9,92,Yes,7,3,89.87
7,94,No,5,5,85.01
7,65,Yes,7,0,56.07
8,46,No,9,5,40.95
8,94,Yes,6,4,88.75
4,91,No,9,7,75.71
7,65,No,5,8,56.08
4,53,Yes,5,4,35.08
7,47,No,8,5,38.62
1,67,No,4,6,40.07
1,96,No,8,7,71.73
6,58,Yes,4,8,46.2
3,71,Yes,4,5,50.26
2,62,Yes,9,4,40.47
1,56,No,6,2,29.05
3,77,No,5,4,56.06
4,61,Yes,7,5,44.4
7,87,No,7,8,79.44
8,90,Yes,7,2,84.77
1,52,Yes,7,0,25.67
9,91,Yes,7,1,88.45
6,62,Yes,9,2,51.52
7,51,Yes,5,0,40.84
2,57,No,6,2,32.93
6,97,No,9,3,86.75
2,53,No,5,2,28.37
6,97,Yes,9,7,88.14
9,77,No,9,0,74.38
9,97,Yes,4,0,92.9
7,96,Yes,9,1,88.8
8,91,Yes,7,2,85.79
7,71,No,9,4,63.34
9,96,No,6,9,94.04
4,73,Yes,4,3,54.76
6,53,No,9,2,41.76
2,83,Yes,4,1,58.82
8,56,No,9,3,50.74
5,54,Yes,9,9,41.9
2,71,Yes,8,8,49.93
4,52,Yes,5,1,33.48
1,60,Yes,7,8,35.39
2,79,Yes,7,9,57.79
9,96,Yes,8,9,95.61
9,55,No,7,7,52.39
7,70,Yes,9,6,63.31
6,75,Yes,4,1,62.12
6,99,Yes,6,4,88.12
7,84,No,7,0,74.81
3,51,Yes,7,6,31.56
2,95,Yes,9,7,74.66
4,43,No,7,1,24.69
9,67,Yes,7,1,64.02
4,81,No,7,5,64.16
3,49,No,9,5,29.7
2,80,Yes,7,2,57.43
9,88,No,5,6,84.82
3,41,No,6,5,20.1
3,67,No,4,3,45.2
1,92,Yes,4,6,66.11
4,50,No,5,6,31.83
6,98,No,8,2,87.09
7,41,Yes,6,8,32.73
4,80,Yes,9,8,65.3
7,73,Yes,4,2,63.15
5,92,Yes,4,6,77.55
7,61,No,5,0,50.43
5,62,Yes,6,1,47.0
6,58,Yes,8,1,46.77
5,87,Yes,6,3,72.85
5,71,Yes,4,5,55.98
4,86,No,7,3,68.86
5,78,Yes,7,4,64.37
4,96,Yes,8,0,79.53
7,74,Yes,5,2,64.65
6,53,No,5,6,40.61
9,78,No,7,4,75.22
5,87,Yes,6,7,73.63
8,98,Yes,5,9,93.32
1,48,Yes,7,3,22.19
8,56,No,4,5,48.7
7,56,No,8,4,47.59
8,98,No,4,9,92.24
4,77,Yes,9,7,62.05
7,85,No,8,8,77.9
3,69,No,4,2,47.04
5,66,Yes,4,7,51.28
2,55,Yes,6,5,32.08
1,62,Yes,7,3,36.44
9,61,No,4,8,57.24
2,66,No,4,3,41.32
5,41,No,4,8,25.44
2,65,No,7,2,41.56
6,67,Yes,5,2,54.66
